Period,National_all_residential_properties,National_houses,National_apartments,Dublin_all_residential_properties,Dublin - houses,Dublin City - houses,Dún Laoghaire-Rathdown - houses,Fingal - houses,South Dublin - houses,Dublin - apartments,National excluding Dublin - all residential properties,National excluding Dublin - houses,Border - houses,Midland - houses,West - houses,Mid-East - houses,Mid-West - houses,South-East - houses,South-West - houses,National excluding Dublin - apartments
2013M01,75.2,75.5,71.9,69.4,69.5,65.7,73,71.1,69.3,69.6,82.9,82.7,90.6,85.2,92.3,74.7,95.7,80.7,83.7,87
2013M02,74.4,74.6,72.2,68.2,68.2,65.2,72.4,70.7,69.8,69.4,82.5,82.2,88.8,84.9,91.3,75.5,95.2,78.8,82.7,87.6
2013M03,73.4,73.6,72,67.8,67.8,65.6,72,69.7,69.5,69.2,80.7,80.5,86.7,81.7,92.4,74.2,91.3,78.5,81.1,85.6
2013M04,73.7,74,71.8,68.6,68.6,65.4,72.5,71.2,69.9,69,80.5,80.4,87.7,83.1,93.9,73.4,87.9,78.1,80.2,83.5
2013M05,73.7,74,71.9,69.1,69.2,65.4,72.2,71.5,71.7,69.1,79.8,79.7,87.3,82.7,92.6,73.1,86.3,77.8,78.4,83.2
2013M06,75.6,76,72.2,71.6,71.9,66.7,74.7,72.3,72.5,69.9,80.9,80.8,86.8,84.3,94.8,72.5,84.6,77.4,79.8,81.7
2013M07,77.4,77.9,72.7,74.2,74.8,68.5,77.5,73.4,73.4,70.8,81.6,81.6,89.5,83.9,94.8,72.4,85,77.6,79.9,82.2
2013M08,78.5,79.1,73.1,76,76.9,70.5,79.4,74.7,74.9,71.1,81.8,81.7,89.9,80.3,94.7,72.6,86.9,76.5,80.4,82.9
2013M09,79.7,80.4,73.1,77.4,78.4,72.5,81,76.4,75.9,71.7,82.9,82.9,91.6,81,93.7,74.2,87.5,76.8,81.6,80.8
2013M10,80.2,80.9,73.7,77.9,78.8,73.4,82.8,77.6,76.5,72.6,83.4,83.5,91.5,80.6,94.1,74.8,87.7,78.5,82.4,80.9
2013M11,80.6,81.1,74.6,78.8,79.4,74.8,84.8,77.1,77.9,74.7,83,83.2,92.1,82.9,94.9,75,86.5,79.1,82.6,78.5
